Id,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,Style
1751,22.71,1.064,1.016,6.35,63.66,7.31,28.39,60,1.051,70.0,1.25,Specific Gravity,All Grain,1.25,18.89,American IPA
1752,20.0,1.069,1.013,7.32,62.89,9.84,9.0,60,1.078,35.0,,Specific Gravity,extract,,20.0,American IPA
1753,20.82,1.084,1.011,9.55,247.45,5.93,34.07,90,1.051,70.0,,Specific Gravity,BIAB,,20.0,American Light Lager
1754,8.0,1.058,1.0170000000000001,5.47,59.79,11.26,11.0,60,1.042,75.0,,Specific Gravity,BIAB,,18.0,American IPA
1755,20.82,1.047,1.013,4.45,111.42,8.65,11.36,60,,70.0,,Specific Gravity,extract,,,American Pale Ale
1756,21.0,1.0490000000000002,1.0090000000000001,5.25,37.96,4.47,32.0,85,1.032,70.0,4.0,Specific Gravity,All Grain,0.75,18.0,Blonde Ale
1757,65.0,1.054,1.01,5.85,51.52,10.52,75.0,60,1.047,80.0,3.0,Specific Gravity,All Grain,0.35,20.0,American IPA
1758,34.07,1.064,1.015,6.48,126.17,9.08,30.28,60,1.072,55.0,,Specific Gravity,BIAB,,,American IPA
1759,20.82,1.062,1.015,6.14,57.26,5.79,15.14,60,1.05,75.0,,Specific Gravity,Partial Mash,0.5,17.78,American IPA
1760,45.42,1.055,1.014,5.43,52.23,7.15,75.71,60,1.033,35.0,,Specific Gravity,extract,,,American Pale Ale
1761,20.82,1.061,1.012,6.37,17.07,3.81,28.39,60,1.044,75.0,1.25,Specific Gravity,All Grain,0.75,20.0,American IPA
1762,20.82,1.062,1.01,6.81,54.41,9.55,26.5,60,1.0490000000000002,70.0,1.4,Specific Gravity,All Grain,0.35,18.33,American IPA
1763,20.82,1.064,1.011,7.02,52.82,6.15,18.93,60,1.071,60.0,,Specific Gravity,BIAB,0.75,18.33,American IPA
1764,20.82,1.052,1.01,5.63,49.99,4.48,22.71,60,1.048,80.0,2.6,Specific Gravity,All Grain,0.35,21.0,American IPA
1765,20.82,1.055,1.014,5.47,64.77,5.86,24.23,60,1.048,75.0,1.2,Specific Gravity,All Grain,0.5,20.0,American IPA
1766,22.71,1.065,1.015,6.56,60.25,4.5,28.39,60,1.052,70.0,1.5,Specific Gravity,All Grain,,,American IPA
1767,24.0,11.3486,2.22269,4.85,7.32,3.98,20.0,60,13.5,70.0,3.0,Plato,All Grain,,20.0,American Light Lager
1768,21.77,1.0590000000000002,1.0190000000000001,5.19,37.94,37.73,26.5,60,1.048,75.0,1.5,Specific Gravity,All Grain,,21.11,American Stout
1769,23.0,1.058,1.013,5.96,59.15,3.45,32.0,60,1.042,74.0,3.0,Specific Gravity,All Grain,1.0,20.0,American IPA
1770,11.0,1.043,1.008,4.7,17.19,3.65,14.5,60,1.033,74.0,3.0,Specific Gravity,All Grain,0.75,20.0,Witbier
1771,41.64,1.056,1.016,5.17,51.07,5.8,49.21,60,1.047,70.0,1.3,Specific Gravity,All Grain,,23.33,American Pale Ale
1772,20.82,1.0659999999999998,1.014,6.91,22.43,16.83,28.39,60,1.0490000000000002,60.0,1.0,Specific Gravity,All Grain,,,Irish Red Ale
1773,20.82,1.064,1.011,7.03,67.11,10.1,28.39,60,1.047,62.0,,Specific Gravity,All Grain,,,American IPA
1774,22.71,1.061,1.015,5.97,129.61,10.31,11.36,60,1.121,35.0,,Specific Gravity,extract,,22.22,American IPA
1775,18.93,1.052,1.012,5.19,36.08,6.32,28.39,60,1.035,70.0,1.25,Specific Gravity,All Grain,,,American Pale Ale
1776,24.61,1.043,1.011,4.19,22.1,9.13,34.07,60,1.031,70.0,1.25,Specific Gravity,All Grain,,,American IPA
1777,24.0,1.0390000000000001,1.01,3.8,60.25,7.12,28.5,60,1.033,60.0,2.5,Specific Gravity,All Grain,0.5,17.5,American Pale Ale
1778,18.93,1.043,1.01,4.38,17.78,5.6,28.39,90,1.0290000000000001,70.0,1.25,Specific Gravity,All Grain,,20.0,American Pale Ale
1779,37.85,1.06,1.016,5.78,42.41,37.41,45.42,90,1.05,70.0,1.5,Specific Gravity,All Grain,,19.44,American Stout
1780,3.79,1.0659999999999998,1.011,7.24,25.29,42.81,6.62,60,1.038,60.0,1.5,Specific Gravity,All Grain,,,American Stout
1781,18.93,1.036,1.0070000000000001,3.87,19.72,7.24,11.36,60,1.061,35.0,,Specific Gravity,extract,,20.0,Blonde Ale
1782,20.82,1.056,1.01,6.06,32.04,5.76,27.44,90,1.043,85.0,,Specific Gravity,BIAB,0.5,17.78,American Pale Ale
1783,25.0,1.053,1.01,5.69,40.15,6.21,28.5,60,1.046,72.0,,Specific Gravity,BIAB,,18.0,American Pale Ale
1784,20.82,1.045,1.01,4.55,22.03,10.4,26.5,60,1.035,75.0,1.25,Specific Gravity,All Grain,,20.0,Irish Red Ale
1785,35.0,1.047,1.014,4.38,31.19,5.96,38.0,75,1.043,81.0,,Specific Gravity,BIAB,0.75,18.0,American Pale Ale
1786,21.8,1.048,1.0070000000000001,5.32,40.77,4.62,27.0,90,1.0390000000000001,70.0,3.0,Specific Gravity,All Grain,,17.0,American Pale Ale
1787,18.93,1.035,1.0070000000000001,3.69,38.07,4.78,11.36,60,1.0590000000000002,75.0,,Specific Gravity,Partial Mash,0.5,19.44,Saison
1788,20.0,11.8017,2.02552,5.2,73.73,6.13,25.0,60,9.5,53.0,,Plato,BIAB,0.75,18.0,American IPA
1789,160.0,1.0,1.0,0.0,52.73,0.0,170.0,90,1.0,90.0,,Specific Gravity,All Grain,0.75,23.0,American IPA
1790,20.82,1.063,1.016,6.24,101.19,9.83,26.5,60,1.05,70.0,,Specific Gravity,All Grain,,,American IPA
1791,38.0,1.065,1.018,6.11,25.08,5.64,62.0,90,1.04,65.0,5.2,Specific Gravity,All Grain,1.0,21.0,Saison
1792,37.85,1.061,1.01,6.69,95.57,6.45,43.53,60,1.053,77.0,,Specific Gravity,BIAB,0.75,18.33,American IPA
1793,22.71,1.06,1.0170000000000001,5.65,65.57,5.59,28.39,60,1.048,75.0,1.5,Specific Gravity,All Grain,1.0,16.11,American Pale Ale
1794,20.82,1.04,1.01,4.03,21.86,5.35,25.74,60,1.033,64.0,3.6,Specific Gravity,All Grain,0.75,18.33,Blonde Ale
1795,26.5,13.9121,1.81087,6.48,30.42,4.27,18.0,60,20.0,71.0,,Plato,All Grain,1.0,17.0,American IPA
1796,46.0,1.072,1.022,6.62,90.03,6.8,55.0,90,1.06,68.0,2.5,Specific Gravity,All Grain,0.35,20.0,American IPA
1797,18.93,1.057,1.014,5.62,74.0,3.84,24.61,60,1.044,70.0,1.5,Specific Gravity,All Grain,,18.33,American IPA
1798,19.31,1.095,1.022,9.57,116.32,11.33,11.36,60,1.162,35.0,,Specific Gravity,extract,1.0,20.0,Imperial IPA
1799,227.12,1.061,1.013,6.33,11.54,4.33,264.98,60,1.053,70.0,1.5,Specific Gravity,All Grain,,22.22,Saison
1800,100.0,1.055,1.0090000000000001,6.02,34.23,9.75,105.0,60,1.053,69.0,2.8,Specific Gravity,All Grain,0.75,22.0,American Amber Ale
1801,18.93,1.057,1.014,5.65,93.1,4.98,24.61,60,1.044,70.0,,Specific Gravity,BIAB,0.35,22.22,American IPA
1802,37.85,1.065,1.015,6.58,61.1,9.9,47.09,60,1.052,70.0,1.5,Specific Gravity,All Grain,0.5,21.11,American IPA
1803,23.0,1.052,1.013,5.13,22.38,12.12,26.9,60,1.044,75.0,2.7,Specific Gravity,All Grain,0.75,18.0,Irish Red Ale
1804,37.85,1.07,1.013,7.35,193.52,8.62,53.0,60,1.05,70.0,,Specific Gravity,BIAB,1.0,25.56,American IPA
1805,16.0,1.07,1.02,6.61,45.62,10.79,24.0,60,1.047,80.0,3.0,Specific Gravity,All Grain,,,American IPA
1806,18.93,1.069,1.012,7.47,79.59,7.12,22.71,60,1.058,70.0,,Specific Gravity,BIAB,0.35,21.11,American Light Lager
1807,18.93,1.054,1.012,5.52,20.07,5.12,13.63,60,1.075,75.0,,Specific Gravity,BIAB,0.75,19.44,Witbier
1808,30.0,1.056,1.011,5.94,62.69,10.78,40.0,90,1.042,75.0,,Specific Gravity,BIAB,0.75,20.0,American IPA
1809,13.0,1.037,1.01,3.5,33.74,5.7,14.0,60,1.034,70.0,3.0,Specific Gravity,All Grain,0.75,,American Pale Ale
1810,43.53,1.044,1.0090000000000001,4.61,20.1,3.62,53.0,60,1.036,80.0,1.33,Specific Gravity,All Grain,0.5,20.0,Blonde Ale
1811,26.0,1.082,1.018,8.42,215.98,7.93,29.0,75,1.074,83.0,3.0,Specific Gravity,All Grain,1.25,22.0,Imperial IPA
1812,20.0,1.046,1.015,4.08,12.5,3.71,7.0,15,1.133,35.0,,Specific Gravity,extract,,20.0,Blonde Ale
1813,20.82,1.091,1.021,9.22,173.32,5.66,16.09,60,1.0590000000000002,35.0,,Specific Gravity,extract,1.25,20.0,Imperial IPA
1814,22.0,13.8562,3.1652299999999998,5.75,40.06,8.59,30.1,60,10.3,70.0,3.0,Plato,All Grain,,20.0,American Pale Ale
1815,21.0,1.054,1.013,5.38,23.47,26.25,28.5,60,1.04,65.0,3.0,Specific Gravity,All Grain,,20.0,Irish Red Ale
1816,20.82,1.079,1.02,7.68,66.87,9.51,11.36,60,1.0590000000000002,35.0,,Specific Gravity,Partial Mash,,23.89,American IPA
1817,41.64,1.067,1.016,6.75,82.48,5.26,49.21,60,1.057,70.0,1.0,Specific Gravity,All Grain,,19.44,American IPA
1818,22.71,1.0590000000000002,1.0090000000000001,6.6,39.33,16.87,28.39,90,1.047,72.0,1.75,Specific Gravity,All Grain,0.75,18.33,American Amber Ale
1819,18.93,1.063,1.012,6.73,22.99,6.36,28.39,60,1.042,70.0,1.25,Specific Gravity,All Grain,,20.0,Saison
1820,20.82,1.057,1.013,5.73,36.45,22.67,28.39,60,1.042,70.0,1.5,Specific Gravity,All Grain,0.5,21.11,American Brown Ale
1821,41.64,1.053,1.013,5.24,44.81,10.98,48.07,60,1.046,75.0,1.5,Specific Gravity,All Grain,,,American Pale Ale
1822,492.1,14.5,3.7,5.83,30.31,5.89,529.96,60,13.5,82.0,1.3,Plato,All Grain,,20.56,American Pale Ale
1823,20.82,1.06,1.014,5.99,64.68,6.57,24.23,60,1.051,80.0,,Specific Gravity,BIAB,0.75,-17.78,American IPA
1824,11.4,1.054,1.012,5.49,40.74,30.03,13.2,60,,70.0,,Specific Gravity,BIAB,0.35,16.0,American Stout
1825,18.93,1.0590000000000002,1.015,5.83,31.66,11.12,26.5,60,1.042,75.0,,Specific Gravity,All Grain,,,American Amber Ale
1826,20.82,1.055,1.013,5.48,26.65,9.43,28.39,60,1.04,75.0,,Specific Gravity,BIAB,0.75,18.33,American Pale Ale
1827,10.5,1.046,1.008,4.95,45.82,9.71,12.0,60,1.04,70.0,,Specific Gravity,BIAB,,21.0,American Pale Ale
1828,21.0,1.053,1.012,5.41,0.0,3.71,28.5,60,1.0390000000000001,70.0,,Specific Gravity,All Grain,,,American Light Lager
1829,20.82,1.041,1.0070000000000001,4.46,89.91,4.11,27.44,60,1.031,75.0,1.35,Specific Gravity,All Grain,0.5,21.11,American Pale Ale
1830,23.0,1.047,1.012,4.58,13.79,3.28,28.0,60,1.038,70.0,,Specific Gravity,All Grain,0.75,20.0,Witbier
1831,18.5,1.069,1.015,7.05,53.88,8.87,22.5,60,1.057,65.0,3.0,Specific Gravity,All Grain,,20.0,Saison
1832,41.64,1.047,1.01,4.91,18.67,3.37,56.78,60,1.035,70.0,1.5,Specific Gravity,All Grain,0.35,21.11,Blonde Ale
1833,8.5,1.064,1.012,6.83,68.66,4.13,11.0,60,1.0490000000000002,70.0,,Specific Gravity,BIAB,,20.0,American IPA
1834,24.61,1.0590000000000002,1.0090000000000001,6.58,95.41,4.43,31.23,90,,80.0,,Specific Gravity,All Grain,1.0,23.89,Saison
1835,20.82,1.047,1.011,4.71,22.1,18.76,28.39,60,1.034,86.0,1.5,Specific Gravity,All Grain,0.35,21.11,American Amber Ale
1836,21.0,1.052,1.01,5.46,40.55,6.6,13.5,60,1.081,55.0,,Specific Gravity,Partial Mash,,20.0,American Pale Ale
1837,18.93,1.07,1.018,6.9,68.09,7.33,11.36,60,1.117,35.0,,Specific Gravity,extract,,16.67,American IPA
1838,19.0,1.0490000000000002,1.012,4.78,98.77,5.32,9.5,60,1.097,35.0,,Specific Gravity,extract,0.5,25.0,American IPA
1839,22.71,1.06,1.014,6.03,19.14,4.86,26.5,60,1.051,70.0,1.25,Specific Gravity,All Grain,,,American Light Lager
1840,20.82,1.046,1.012,4.56,107.96,7.72,11.36,60,1.085,35.0,,Specific Gravity,extract,,18.89,American IPA
1841,3.79,1.063,1.016,6.15,76.84,30.91,5.68,60,1.042,70.0,,Specific Gravity,BIAB,0.5,,American IPA
1842,20.82,1.061,1.011,6.59,45.43,4.68,15.14,60,1.084,68.0,,Specific Gravity,BIAB,0.35,23.89,American IPA
1843,22.71,1.061,1.0170000000000001,5.8,54.48,8.5,26.5,60,,70.0,,Specific Gravity,All Grain,,,American IPA
1844,18.93,1.062,1.012,6.61,55.49,6.23,28.39,60,1.041,71.0,1.5,Specific Gravity,All Grain,,21.11,American IPA
1845,18.93,1.082,1.02,8.17,34.97,7.36,11.36,60,1.137,100.0,,Specific Gravity,extract,0.75,21.11,Witbier
1846,20.82,1.06,1.015,5.87,62.04,6.09,28.39,60,1.044,70.0,,Specific Gravity,All Grain,,,American IPA
1847,20.0,1.056,1.014,5.48,21.46,26.36,18.0,60,,63.0,,Specific Gravity,All Grain,,,American Brown Ale
1848,13.0,1.06,1.011,6.37,44.72,6.34,19.0,60,1.041,68.0,,Specific Gravity,All Grain,,17.0,American IPA
1849,22.71,1.055,1.015,5.26,53.08,3.96,28.39,60,1.044,75.0,1.25,Specific Gravity,All Grain,0.75,21.11,American Pale Ale
1850,18.93,1.078,1.014,8.38,131.86,6.95,28.39,60,1.052,70.0,,Specific Gravity,BIAB,1.0,20.0,Imperial IPA
1851,20.82,1.091,1.0190000000000001,9.51,50.8,23.84,24.61,60,1.077,70.0,1.5,Specific Gravity,All Grain,,18.33,American Brown Ale
1852,22.71,1.072,1.018,7.09,268.71,6.33,30.28,90,,75.0,,Specific Gravity,All Grain,,,Imperial IPA
1853,18.93,1.058,1.004,7.06,53.27,3.73,23.28,70,1.047,78.0,1.3,Specific Gravity,All Grain,1.25,23.89,Saison
1854,30.0,1.0490000000000002,1.015,4.53,13.03,3.88,35.0,60,1.042,72.0,3.0,Specific Gravity,All Grain,,,Witbier
1855,20.82,1.048,1.0090000000000001,5.07,41.71,4.88,7.57,60,1.074,25.0,,Specific Gravity,extract,,,American Pale Ale
1856,22.71,1.064,1.012,6.76,55.72,39.91,28.39,60,1.051,70.0,1.25,Specific Gravity,All Grain,0.75,18.33,American Stout
1857,21.0,1.052,1.01,5.48,35.2,12.66,28.5,60,1.038,70.0,3.0,Specific Gravity,All Grain,0.35,16.0,American Pale Ale
1858,22.71,1.044,1.012,4.19,14.85,3.47,30.28,60,1.033,75.0,1.4,Specific Gravity,All Grain,1.5,,American Light Lager
1859,39.75,1.04,1.0070000000000001,4.33,21.79,4.68,49.21,75,1.032,56.0,1.33,Specific Gravity,All Grain,2.0,20.0,American Pale Ale
1860,7.5,1.05,1.008,5.62,32.06,11.52,10.0,60,1.038,75.0,3.0,Specific Gravity,All Grain,,23.0,Saison
1861,18.93,1.071,1.013,7.71,70.18,14.77,24.61,60,1.055,75.0,1.4,Specific Gravity,All Grain,0.35,22.22,American Pale Ale
1862,18.93,1.05,1.0090000000000001,5.36,15.79,5.21,24.61,60,1.038,72.0,1.5,Specific Gravity,All Grain,0.35,15.56,Blonde Ale
1863,25.55,1.047,1.011,4.73,38.33,4.17,28.39,60,1.042,75.0,1.7,Specific Gravity,All Grain,0.75,18.33,American Pale Ale
1864,11.36,1.051,1.01,5.4,35.56,13.67,28.39,60,1.02,70.0,1.5,Specific Gravity,All Grain,,,American Pale Ale
1865,25.0,1.063,1.016,6.21,28.52,3.68,30.0,60,1.053,70.0,3.0,Specific Gravity,All Grain,,,Saison
1866,20.82,1.065,1.015,6.56,54.07,9.2,24.61,60,1.055,65.0,1.3,Specific Gravity,All Grain,1.25,17.78,American IPA
1867,20.0,1.046,1.012,4.53,28.81,11.25,22.0,60,1.042,70.0,3.1,Specific Gravity,All Grain,,,American Amber Ale
1868,20.0,1.069,1.015,7.06,59.22,10.68,24.0,60,1.058,75.0,,Specific Gravity,All Grain,,20.0,American IPA
1869,8.52,1.052,1.01,5.51,54.76,3.49,10.6,60,1.042,73.0,2.0,Specific Gravity,All Grain,,17.78,American IPA
1870,10.22,1.075,1.013,8.12,146.78,7.85,15.52,60,1.05,48.0,1.3,Specific Gravity,All Grain,1.0,19.44,American IPA
1871,18.93,1.053,1.01,5.61,36.71,9.56,9.46,60,1.1059999999999999,35.0,,Specific Gravity,extract,,18.33,American Pale Ale
1872,20.82,1.072,1.014,7.61,73.51,29.29,28.39,60,1.053,75.0,1.5,Specific Gravity,All Grain,0.5,20.56,American Brown Ale
1873,25.0,1.051,1.01,5.38,34.72,12.68,28.0,60,1.046,70.0,3.0,Specific Gravity,All Grain,0.5,18.0,American Amber Ale
1874,1000.0,1.056,1.0090000000000001,6.09,28.23,7.67,1100.0,60,1.051,65.0,3.8,Specific Gravity,All Grain,0.5,21.0,American Pale Ale
1875,20.82,1.056,1.014,5.56,424.31,7.39,28.39,60,1.041,72.0,,Specific Gravity,BIAB,,21.11,American Pale Ale
1876,19.87,1.062,1.015,6.22,292.04,6.31,18.93,90,1.065,60.0,,Specific Gravity,Partial Mash,,20.0,American IPA
1877,41.64,1.052,1.013,5.13,41.03,9.68,49.21,60,1.044,73.0,1.5,Specific Gravity,All Grain,,,American Pale Ale
1878,1760.22,1.1,1.024,9.95,112.09,14.84,1818.89,60,1.097,70.0,1.3,Specific Gravity,All Grain,0.75,18.33,Imperial IPA
1879,20.82,1.065,1.015,6.51,54.31,16.26,26.5,75,1.051,81.0,1.5,Specific Gravity,All Grain,0.75,22.22,American Amber Ale
1880,22.71,1.061,1.012,6.73,35.58,5.62,33.12,90,1.042,77.0,1.5,Specific Gravity,All Grain,,21.11,American Pale Ale
1881,17.79,1.089,1.0170000000000001,9.41,0.0,4.98,28.39,60,1.055,60.0,1.5,Specific Gravity,All Grain,2.0,,American Light Lager
1882,12.0,1.056,1.011,5.93,44.0,9.82,8.0,60,1.084,25.0,,Specific Gravity,Partial Mash,0.5,21.0,American IPA
1883,20.0,1.047,1.0090000000000001,4.97,48.42,18.75,8.0,60,1.117,35.0,,Specific Gravity,extract,,20.0,American Light Lager
1884,18.93,1.06,1.016,5.82,26.0,12.43,24.26,60,1.047,69.0,,Specific Gravity,BIAB,,,American Amber Ale
1885,21.0,1.058,1.016,5.5,26.03,11.73,27.7,60,1.044,75.0,3.4,Specific Gravity,All Grain,0.75,18.0,Irish Red Ale
1886,20.82,1.054,1.011,5.68,22.58,7.82,30.28,90,1.037,83.0,1.5,Specific Gravity,All Grain,,,Saison
1887,10.0,1.105,1.026,10.35,0.0,4.5,12.0,60,1.088,35.0,,Specific Gravity,extract,1.0,20.0,American Light Lager
1888,40.0,1.045,1.0090000000000001,4.64,0.0,5.7,45.0,60,1.04,70.0,3.0,Specific Gravity,All Grain,,,American Pale Ale
1889,20.82,1.062,1.0170000000000001,5.92,57.97,4.22,11.36,60,1.042,70.0,,Specific Gravity,Partial Mash,0.35,22.22,American IPA
1890,35.0,1.067,1.016,6.65,58.32,7.04,39.0,60,1.06,75.0,,Specific Gravity,BIAB,0.75,20.0,American IPA
1891,20.0,1.0759999999999998,1.032,5.79,37.92,6.04,24.0,60,1.063,70.0,3.0,Specific Gravity,All Grain,0.75,,American Pale Ale
1892,20.82,1.064,1.016,6.27,47.68,30.82,11.36,60,1.117,35.0,,Specific Gravity,extract,,,American Amber Ale
1893,28.39,1.058,1.015,5.66,34.7,19.65,41.64,60,1.0390000000000001,70.0,1.5,Specific Gravity,All Grain,,21.11,American Amber Ale
1894,42.0,1.053,1.0090000000000001,5.83,32.51,5.88,42.0,80,1.053,85.0,,Specific Gravity,BIAB,,18.0,American Pale Ale
1895,7.57,1.06,1.02,5.26,37.61,5.5,8.33,60,1.054,70.0,,Specific Gravity,BIAB,0.75,18.33,American Pale Ale
1896,20.82,1.0590000000000002,1.0170000000000001,5.49,35.39,16.15,30.28,60,1.04,70.0,1.5,Specific Gravity,All Grain,0.35,20.0,American Brown Ale
1897,22.71,1.04,1.008,4.3,52.85,9.07,15.14,60,1.061,35.0,,Specific Gravity,extract,,24.44,American IPA
1898,20.82,1.061,1.014,6.18,61.35,5.57,32.18,60,1.0390000000000001,70.0,,Specific Gravity,BIAB,,18.33,American IPA
1899,18.93,1.058,1.015,5.75,45.07,6.52,24.61,60,1.045,35.0,,Specific Gravity,extract,,,American Pale Ale
1900,20.82,1.069,1.016,6.92,83.29,7.62,28.39,60,1.051,70.0,2.0,Specific Gravity,All Grain,0.35,18.33,American IPA
1901,18.93,1.0979999999999999,1.023,9.84,359.27,7.2,29.34,90,1.054,70.0,1.5,Specific Gravity,All Grain,1.25,19.44,American IPA
1902,18.93,1.064,1.011,6.98,328.96,6.52,28.39,90,1.043,60.0,1.5,Specific Gravity,All Grain,,18.89,American IPA
1903,23.0,1.054,1.015,5.1,38.49,4.31,28.5,60,1.044,75.0,10.0,Specific Gravity,All Grain,0.5,21.0,American Pale Ale
1904,18.93,1.078,1.022,7.38,146.61,13.17,15.14,60,1.0979999999999999,75.0,,Specific Gravity,Partial Mash,,21.11,Imperial IPA
1905,20.82,1.063,1.018,5.86,72.32,6.06,28.39,60,1.046,50.0,1.0,Specific Gravity,All Grain,0.35,20.0,American IPA
1906,60.0,1.043,1.008,4.58,15.11,5.48,80.0,60,1.032,70.0,4.5,Specific Gravity,All Grain,0.35,20.0,Blonde Ale
1907,22.71,1.055,1.013,5.55,32.33,5.44,28.39,60,1.044,90.0,1.5,Specific Gravity,All Grain,,,American Pale Ale
1908,20.82,1.074,1.013,7.98,126.0,15.15,28.39,60,1.054,70.0,1.5,Specific Gravity,All Grain,,,American IPA
1909,28.39,1.07,1.012,7.56,84.61,39.01,37.85,60,1.052,70.0,,Specific Gravity,BIAB,0.5,18.33,American Stout
1910,20.82,1.071,1.0170000000000001,6.96,0.0,5.58,24.61,60,1.06,70.0,,Specific Gravity,BIAB,0.5,21.11,American Light Lager
1911,18.93,1.041,1.01,4.07,10.49,3.18,28.39,90,1.028,70.0,,Specific Gravity,BIAB,,,American Light Lager
1912,18.93,1.045,1.003,5.52,21.08,3.59,22.71,90,1.038,70.0,1.5,Specific Gravity,All Grain,1.0,,Saison
1913,3.8,1.0490000000000002,1.013,4.74,19.0,3.92,8.0,60,1.023,65.0,,Specific Gravity,All Grain,0.5,18.0,Witbier
1914,18.93,1.057,1.018,5.17,37.43,7.23,28.39,60,1.038,70.0,1.25,Specific Gravity,All Grain,,20.0,American Pale Ale
1915,30.28,1.068,1.013,7.15,42.23,17.19,37.85,90,1.054,75.0,1.5,Specific Gravity,All Grain,0.35,18.33,American IPA
1916,14.0,1.06,1.015,6.03,42.53,8.76,15.0,60,1.056,72.0,,Specific Gravity,All Grain,0.35,18.0,American IPA
1917,15.0,1.0659999999999998,1.0170000000000001,6.51,77.65,8.95,18.0,90,1.055,70.0,,Specific Gravity,BIAB,,21.0,American IPA
1918,10.4,1.053,1.015,5.0,72.27,9.56,8.0,60,1.069,35.0,,Specific Gravity,extract,,18.0,American IPA
1919,24.61,1.069,1.012,7.48,27.28,4.28,32.18,90,1.053,75.0,1.5,Specific Gravity,All Grain,0.75,21.11,Saison
1920,19.87,1.046,1.0090000000000001,4.83,42.7,9.79,23.66,60,1.0390000000000001,65.0,1.5,Specific Gravity,All Grain,0.75,20.0,American Pale Ale
1921,20.0,1.0590000000000002,1.01,6.51,57.67,5.63,23.0,60,1.052,75.0,,Specific Gravity,All Grain,,18.0,American IPA
1922,20.82,1.057,1.014,5.61,66.6,8.65,25.55,60,1.046,70.0,1.25,Specific Gravity,All Grain,0.75,15.56,American IPA
1923,26.0,1.051,1.0090000000000001,5.5,30.18,6.11,32.0,60,1.041,70.0,,Specific Gravity,BIAB,0.35,19.0,American Pale Ale
1924,50.0,1.046,1.0090000000000001,4.83,49.03,15.12,62.0,60,1.037,75.0,2.75,Specific Gravity,All Grain,0.75,19.0,American Amber Ale
1925,20.82,1.071,1.0170000000000001,7.01,129.1,8.54,26.5,60,1.055,80.0,,Specific Gravity,All Grain,,20.0,American IPA
1926,23.0,1.026,1.006,2.61,36.33,2.13,28.4,60,1.021,70.0,2.5,Specific Gravity,All Grain,,,American Pale Ale
1927,20.0,1.064,1.013,6.73,98.12,7.23,25.0,60,1.051,70.0,3.0,Specific Gravity,All Grain,,20.0,American IPA
1928,22.71,1.061,1.013,6.21,26.45,12.38,28.39,60,1.048,65.0,1.5,Specific Gravity,All Grain,1.25,26.67,Saison
1929,20.82,1.069,1.016,7.01,78.82,7.1,28.39,75,1.051,70.0,1.33,Specific Gravity,All Grain,0.35,18.89,American IPA
1930,18.0,1.065,1.012,6.88,74.44,11.23,21.0,60,1.055,70.0,3.0,Specific Gravity,All Grain,,18.0,American IPA
1931,20.82,1.065,1.015,6.45,76.94,4.44,28.39,60,1.047,68.0,1.5,Specific Gravity,All Grain,1.0,20.0,American IPA
1932,3.79,1.051,1.011,5.23,14.49,3.67,3.79,60,1.051,71.0,,Specific Gravity,BIAB,0.35,20.0,Witbier
1933,20.82,1.053,1.0090000000000001,5.84,18.73,5.44,26.5,60,1.036,65.0,1.5,Specific Gravity,All Grain,1.0,23.89,Saison
1934,20.82,1.05,1.011,5.0,27.55,4.62,26.04,60,1.04,74.0,1.25,Specific Gravity,All Grain,0.75,18.33,Blonde Ale
1935,16.0,1.0490000000000002,1.0090000000000001,5.26,68.59,8.15,20.0,60,1.04,70.0,3.0,Specific Gravity,All Grain,0.35,19.0,American IPA
1936,21.0,11.3777,2.51973,4.71,42.51,13.81,28.5,80,8.5,35.0,5.0,Plato,All Grain,0.5,,American Pale Ale
1937,10.0,1.046,1.0090000000000001,4.92,30.83,5.01,15.0,60,1.031,75.0,,Specific Gravity,BIAB,0.75,16.0,American Pale Ale
1938,12.5,1.048,1.012,4.74,39.85,9.31,18.8,75,1.032,60.0,,Specific Gravity,BIAB,,,American Pale Ale
1939,23.0,1.063,1.012,6.66,62.03,11.35,30.0,60,1.048,67.0,4.0,Specific Gravity,All Grain,,20.0,American IPA
1940,3.7,1.046,1.011,4.52,12.83,3.23,5.2,60,1.033,85.0,3.0,Specific Gravity,All Grain,,,Witbier
1941,41.64,1.082,1.02,8.16,74.98,10.45,51.86,90,1.0659999999999998,72.0,1.2,Specific Gravity,All Grain,,20.0,American IPA
1942,33.12,1.053,1.004,6.49,65.43,5.57,37.85,60,1.046,65.0,,Specific Gravity,BIAB,1.5,19.44,American Pale Ale
1943,20.82,1.071,1.016,7.26,160.32,7.21,28.39,90,1.052,60.0,,Specific Gravity,All Grain,0.5,17.78,Imperial IPA
1944,5.68,1.107,1.0270000000000001,10.53,53.9,11.37,6.36,60,1.0959999999999999,68.0,,Specific Gravity,BIAB,,,American Pale Ale
1945,18.9,1.061,1.0170000000000001,5.84,43.5,9.47,22.7,60,1.051,68.0,2.9,Specific Gravity,All Grain,,20.0,American Light Lager
1946,20.82,1.057,1.01,6.14,44.84,7.84,28.39,60,1.042,70.0,,Specific Gravity,BIAB,,17.78,American Pale Ale
1947,37.85,1.055,1.014,5.41,43.52,6.97,45.42,60,1.046,75.0,1.5,Specific Gravity,All Grain,,,American IPA
